Number of Individual,Calendar Month,Latitude,Longitude
4,2019-FEB,37.511378,-121.960493
1,2019-FEB,37.511399,-121.968842
5,2019-FEB,37.511614,-121.96812
2,2019-FEB,37.511696,-121.957299
1,2019-FEB,37.511752,-121.957325
2,2019-FEB,37.511768,-121.956963
1,2019-FEB,37.511784,-121.956504
1,2019-FEB,37.511906,-121.966079
1,2019-FEB,37.511931,-121.964051
1,2019-FEB,37.511946,-121.954102
2,2019-FEB,37.51202,-121.955786
1,2019-FEB,37.512028,-121.953771
2,2019-FEB,37.512083,-121.965281
4,2019-FEB,37.512119,-121.952348
1,2019-FEB,37.512151,-121.953826
2,2019-FEB,37.512172,-121.965713
6,2019-FEB,37.512185,-121.954207
5,2019-FEB,37.512194,-121.954211
1,2019-FEB,37.512211,-121.971616
5,2019-FEB,37.51222,-121.954222
1,2019-FEB,37.512325,-121.918003
2,2019-FEB,37.512366,-121.965825
2,2019-FEB,37.512389,-121.952406
1,2019-FEB,37.51239,-121.952402
1,2019-FEB,37.512434,-121.952174
1,2019-FEB,37.51247,-121.96156
1,2019-FEB,37.512535,-121.954813
2,2019-FEB,37.512546,-121.961284
1,2019-FEB,37.51261,-121.972424
3,2019-FEB,37.512621,-121.954852
2,2019-FEB,37.512662,-121.971457
3,2019-FEB,37.512716,-121.95365
2,2019-FEB,37.512735,-121.953659
3,2019-FEB,37.512781,-121.95368
4,2019-FEB,37.512786,-121.964871
2,2019-FEB,37.51286,-121.918686
3,2019-FEB,37.512893,-121.953731
1,2019-FEB,37.512911,-121.95374
1,2019-FEB,37.512976,-121.95377
4,2019-FEB,37.513017,-121.953046
5,2019-FEB,37.513054,-121.948444
3,2019-FEB,37.51306,-121.921927
1,2019-FEB,37.51307,-121.953444
3,2019-FEB,37.513085,-121.950476
1,2019-FEB,37.513218,-121.949064
5,2019-FEB,37.513226,-121.952122
3,2019-FEB,37.513294,-121.947691
2,2019-FEB,37.513427,-121.960801
1,2019-FEB,37.51345,-121.963799
3,2019-FEB,37.51352,-121.930246
1,2019-FEB,37.513549,-121.963768
1,2019-FEB,37.513612,-121.964661
3,2019-FEB,37.51367,-121.953235
2,2019-FEB,37.513747,-121.963706
1,2019-FEB,37.513752,-121.96194
2,2019-FEB,37.513776,-121.973744
1,2019-FEB,37.513805,-121.963698
1,2019-FEB,37.51385,-121.922379
3,2019-FEB,37.5139,-121.9281
1,2019-FEB,37.5139,-121.9278
1,2019-FEB,37.513924,-121.963706
2,2019-FEB,37.514022,-121.948875
1,2019-FEB,37.51404,-121.947824
1,2019-FEB,37.514068,-121.937626
1,2019-FEB,37.51411,-121.964142
1,2019-FEB,37.514193,-121.937409
3,2019-FEB,37.514245,-121.962209
1,2019-FEB,37.514321,-121.955082
1,2019-FEB,37.51443,-121.972746
1,2019-FEB,37.514442,-121.969191
3,2019-FEB,37.514442,-121.964319
2,2019-FEB,37.514446,-121.964322
1,2019-FEB,37.514457,-121.950516
2,2019-FEB,37.51463,-121.963745
1,2019-FEB,37.514637,-121.958721
4,2019-FEB,37.514657,-121.963661
1,2019-FEB,37.514688,-121.957846
1,2019-FEB,37.51475,-121.956086
2,2019-FEB,37.514783,-121.947813
2,2019-FEB,37.514805,-121.964524
2,2019-FEB,37.514903,-121.966922
1,2019-FEB,37.514976,-121.956316
1,2019-FEB,37.515028,-121.974498
5,2019-FEB,37.515331,-121.959089
1,2019-FEB,37.515389,-121.97492
1,2019-FEB,37.515407,-121.96226
3,2019-FEB,37.515489,-121.969239
1,2019-FEB,37.515534,-121.976217
1,2019-FEB,37.515565,-121.964529
1,2019-FEB,37.515578,-121.99738
2,2019-FEB,37.515597,-121.968688
1,2019-FEB,37.515601,-121.968031
1,2019-FEB,37.515639,-121.933957
2,2019-FEB,37.515658,-121.997307
5,2019-FEB,37.51566,-121.962434
1,2019-FEB,37.515662,-121.975907
2,2019-FEB,37.51572,-121.969006
2,2019-FEB,37.515728,-121.960142
3,2019-FEB,37.515737,-121.997662
1,2019-FEB,37.515788,-121.994888
1,2019-FEB,37.515836,-121.949732
2,2019-FEB,37.515929,-121.972344
